Content Load,Page Load,Blocked,DNS,Connect,Send,Wait,Receive,Body Size Request,Body Size Response,Header Size Request,Header Size Response,Total Size Request,Total Size Response,Total HTTP Timings
CL01_below_535,PL01_below_648,5,0,0,0,5,0,0,0,1110,0,TRTS05_925_1189,TRES01_below_2559,THTTP01_below_177
CL03_1268_1833,PL09_9947_14346,390,0,0,0,151,47,0,11513,1110,376,TRTS05_925_1189,TRES04_9486_12576,THTTP03_412_626
CL05_2430_3062,PL01_below_648,6,0,0,0,134,29,0,10376,1110,376,TRTS05_925_1189,TRES04_9486_12576,THTTP01_below_177
CL01_below_535,PL01_below_648,89,0,0,0,89,0,0,0,1110,0,TRTS05_925_1189,TRES01_below_2559,THTTP02_177_412
CL05_2430_3062,PL10_14346_up,111,0,0,0,408,27,0,10270,1110,376,TRTS05_925_1189,TRES04_9486_12576,THTTP03_412_626
CL01_below_535,PL01_below_648,7,0,0,0,7,0,0,0,1110,0,TRTS05_925_1189,TRES01_below_2559,THTTP01_below_177
CL01_below_535,PL01_below_648,52,0,0,0,52,0,0,0,1110,0,TRTS05_925_1189,TRES01_below_2559,THTTP01_below_177
CL06_3062_3812,PL10_14346_up,106,0,0,0,156,28,0,10509,1110,376,TRTS05_925_1189,TRES04_9486_12576,THTTP02_177_412
CL07_3812_4813,PL10_14346_up,3,0,0,0,86,41,0,11012,1165,491,TRTS05_925_1189,TRES04_9486_12576,THTTP01_below_177
CL06_3062_3812,PL10_14346_up,7,0,0,0,115,0,0,11037,1009,491,TRTS05_925_1189,TRES04_9486_12576,THTTP01_below_177
CL06_3062_3812,PL09_9947_14346,56,0,0,0,218,0,0,11066,1009,491,TRTS05_925_1189,TRES04_9486_12576,THTTP02_177_412
CL07_3812_4813,PL01_below_648,23,0,0,0,229,0,0,11143,1009,492,TRTS05_925_1189,TRES04_9486_12576,THTTP02_177_412
CL07_3812_4813,PL09_9947_14346,467,0,0,0,72,11,0,11000,1009,491,TRTS05_925_1189,TRES04_9486_12576,THTTP03_412_626
CL08_4813_6084,PL09_9947_14346,486,0,0,0,70,11,0,10981,1009,491,TRTS05_925_1189,TRES04_9486_12576,THTTP03_412_626
CL09_6084_7536,PL10_14346_up,728,0,0,0,144,0,0,11173,1010,491,TRTS05_925_1189,TRES04_9486_12576,THTTP05_859_1130
CL10_7536_up,PL01_below_648,974,0,0,0,280,0,0,10985,1012,491,TRTS05_925_1189,TRES04_9486_12576,THTTP06_1130_1411
CL10_7536_up,PL01_below_648,4,0,0,0,167,82,0,22999,1662,518,TRTS07_1486_1724,TRES08_21342_27797,THTTP02_177_412
CL08_4813_6084,PL10_14346_up,9,0,0,0,133,0,0,10969,1178,491,TRTS05_925_1189,TRES04_9486_12576,THTTP01_below_177
CL09_6084_7536,PL01_below_648,33,0,0,0,139,0,0,10934,1020,491,TRTS05_925_1189,TRES04_9486_12576,THTTP01_below_177
CL09_6084_7536,PL01_below_648,198,0,0,0,207,0,0,10972,985,491,TRTS05_925_1189,TRES04_9486_12576,THTTP02_177_412
CL08_4813_6084,PL01_below_648,123,0,0,0,142,0,0,10954,1020,490,TRTS05_925_1189,TRES04_9486_12576,THTTP02_177_412
CL07_3812_4813,PL10_14346_up,4,0,0,0,80,13,0,11044,1020,491,TRTS05_925_1189,TRES04_9486_12576,THTTP01_below_177
